ID,Name,Pos,Team,BV,p(start),p(90),p(sub on),xMins,g share,a share,yc tax,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
90204,Kian Leavy,M,St. Patricks,5.5,0.9,0.7,0.1,78,0.15,0.10,0.11,4.32,5.11,3.93,5.45,4.30,5.13,4.59,4.87,5.38,4.90,4.38,4.62
160301,Luke Kehir,M,St. Patricks,5,0,0,0,0,0.01,0.10,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57976,Aidan Keena,F,St. Patricks,9.5,0,0,0,0,0.29,0.20,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
430865,Max Mata,F,St. Patricks,8,0.2,0,0,13,0.28,0.20,0.05,0.83,1.01,0.74,1.09,0.82,1.01,0.89,0.96,1.08,0.96,0.84,0.89
299,Ryan Edmondson,F,St. Patricks,6.5,0.8,0.6,0.2,71,0.27,0.20,0.05,4.62,5.57,4.15,5.99,4.59,5.57,4.94,5.28,5.91,5.31,4.68,4.95
100604,Stephen McMullan,G,Waterford,5,1,1,0,90,0.00,0.01,0.01,4.85,4.85,5.32,4.05,4.85,4.99,4.52,4.68,4.47,4.29,5.44,4.72
606606,Arlo Doherty,G,Waterford,4,0,0,0,0,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
569537,Hayden Cann,D,Waterford,5,0.8,0.8,0,72,0.06,0.05,0.11,4.03,4.00,4.50,3.31,4.04,4.15,3.74,3.89,3.67,3.53,4.54,3.94
575565,Jesse Dempsey,D,Waterford,5,0.4,0.3,0.2,37.5,0.08,0.05,0.11,2.34,2.31,2.64,1.89,2.35,2.42,2.16,2.25,2.11,2.03,2.65,2.29
631648,Benny Couto,D,Waterford,4.5,0.8,0.7,0.5,79.5,0.05,0.05,0.11,4.89,4.84,5.49,3.96,4.90,5.05,4.52,4.70,4.43,4.25,5.53,4.78
656867,Finlay Armstrong,D,Waterford,4.5,0.3,0.2,0.1,26.5,0.01,0.05,0.11,1.49,1.49,1.66,1.22,1.49,1.54,1.38,1.44,1.36,1.30,1.69,1.46
66774,John Mahon,D,Waterford,4.5,0.8,0.8,0,72,0.03,0.05,0.11,3.92,3.90,4.35,3.22,3.92,4.04,3.64,3.78,3.58,3.44,4.41,3.82
65261,Cian Barrett,D,Waterford,4,0,0,0,0,0.07,0.05,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
234322,Ronan Mansfield,D,Waterford,4,0,0,0.1,2,0.05,0.05,0.11,0.21,0.21,0.24,0.16,0.21,0.22,0.19,0.20,0.19,0.18,0.24,0.21
256659,Sean Keane,D,Waterford,4,0,0,0.1,2,0.10,0.05,0.11,0.22,0.21,0.25,0.17,0.22,0.23,0.20,0.21,0.19,0.18,0.25,0.21
90189,Conan Noonan,M,Waterford,8,1,0.9,0,87.5,0.14,0.20,0.11,4.56,4.41,5.11,3.93,4.59,4.66,4.34,4.45,4.19,4.13,4.90,4.57
376875,Evan McLaughlin,M,Waterford,7,0.8,0.7,0,69.5,0.14,0.15,0.11,3.54,3.43,3.95,3.06,3.56,3.62,3.37,3.46,3.26,3.21,3.80,3.54
659874,Jordan Faria,M,Waterford,6.5,0.1,0,0,6.5,0.17,0.08,0.11,0.33,0.32,0.38,0.28,0.34,0.34,0.32,0.32,0.30,0.30,0.36,0.33
57578,Luke Heeney,M,Waterford,6.5,0.6,0.5,0,51.5,0.10,0.08,0.11,2.43,2.37,2.68,2.12,2.44,2.48,2.32,2.38,2.25,2.22,2.60,2.42
46241,Dean McMenamy,M,Waterford,6,0.5,0.4,0.1,44.5,0.01,0.08,0.11,2.00,1.97,2.18,1.76,2.01,2.04,1.91,1.96,1.87,1.84,2.14,1.99
593609,Sam Glenfield,M,Waterford,6,0.5,0.3,0.1,42,0.09,0.08,0.11,2.07,2.02,2.29,1.79,2.08,2.11,1.97,2.02,1.91,1.87,2.23,2.06
591894,Kyle White,M,Waterford,5.5,0.2,0.1,0.1,17.5,0.01,0.08,0.11,0.85,0.84,0.94,0.73,0.85,0.87,0.81,0.83,0.79,0.77,0.92,0.84
631926,Trae Coyle,M,Waterford,5.5,0.5,0.2,0.1,39.5,0.01,0.08,0.11,1.80,1.77,1.98,1.57,1.81,1.84,1.71,1.76,1.67,1.64,1.94,1.79
